CMDLINE C:\Users\63977\AppData\Local\Programs\Python\Python311\python.exe PolyVisionMain.py
MEM 1.675781 1690947115.1892
MEM 15.929688 1690947115.2906
MEM 24.054688 1690947115.3909
MEM 35.300781 1690947115.4912
MEM 39.054688 1690947115.5920
MEM 43.468750 1690947115.6927
MEM 55.886719 1690947115.7937
MEM 63.058594 1690947115.8943
MEM 73.359375 1690947115.9949
MEM 81.144531 1690947116.0954
MEM 85.898438 1690947116.1956
MEM 90.730469 1690947116.2960
MEM 99.222656 1690947116.3963
MEM 102.515625 1690947116.4967
MEM 107.058594 1690947116.5971
MEM 131.816406 1690947116.6977
MEM 151.777344 1690947116.7981
MEM 146.882812 1690947116.8985
MEM 149.347656 1690947116.9991
MEM 160.816406 1690947117.0995
MEM 186.820312 1690947117.1998
MEM 189.976562 1690947117.3002
MEM 189.515625 1690947117.4008
MEM 190.789062 1690947117.5011
MEM 189.679688 1690947117.6019
MEM 189.691406 1690947117.7025
MEM 191.296875 1690947117.8031
MEM 189.691406 1690947117.9037
MEM 191.296875 1690947118.0042
MEM 189.648438 1690947118.1044
MEM 190.777344 1690947118.2046
MEM 188.914062 1690947118.3049
MEM 190.777344 1690947118.4053
MEM 191.289062 1690947118.5058
MEM 191.312500 1690947118.6064
MEM 193.140625 1690947118.7065
MEM 188.925781 1690947118.8073
MEM 190.792969 1690947118.9075
MEM 190.265625 1690947119.0081
MEM 190.335938 1690947119.1087
MEM 190.253906 1690947119.2089
MEM 191.343750 1690947119.3096
MEM 189.496094 1690947119.4100
MEM 191.371094 1690947119.5102
MEM 190.250000 1690947119.6103
MEM 191.371094 1690947119.7109
MEM 191.371094 1690947119.8115
MEM 190.296875 1690947119.9117
MEM 190.363281 1690947120.0123
MEM 191.371094 1690947120.1131
MEM 190.359375 1690947120.2137
MEM 190.277344 1690947120.3143
MEM 191.367188 1690947120.4150
MEM 190.359375 1690947120.5153
MEM 190.277344 1690947120.6160
MEM 191.371094 1690947120.7163
